year,season,area,age,n
2019,1,1,1,1978560
2019,1,1,2,13036200
2019,1,1,3,6709800
2019,1,1,4,1864460
2019,1,1,5,756445
2019,1,1,6,740695
2019,1,1,7,213173
2019,1,1,8,97502.1
2019,1,1,9,58890.3
2019,1,1,10,56396.4
2019,1,1,11,4729.44
2019,1,1,12,11237.8
2019,1,1,13,9459.76
2019,1,1,14,4129.64
2019,1,1,15,1277.76
2019,1,1,16,5802.69
2020,1,1,1,3684460
2020,1,1,2,3221230
2020,1,1,3,711351
2020,1,1,4,250728
2020,1,1,5,882664
2020,1,1,6,468461
2020,1,1,7,221493
2020,1,1,8,127525
2020,1,1,9,103473
2020,1,1,10,69156
2020,1,1,11,26893.5
2020,1,1,12,11119.1
2020,1,1,13,5704.06
2020,1,1,14,5757.64
2020,1,1,15,716.121
2020,1,1,16,5888.97
2021,1,1,1,4504530
2021,1,1,2,2249500
2021,1,1,3,4547850
2021,1,1,4,1737150
2021,1,1,5,217018
2021,1,1,6,144722
2021,1,1,7,75987.4
2021,1,1,8,16493
2021,1,1,9,121347
2021,1,1,10,52712.2
2021,1,1,11,20199.9
2021,1,1,12,11561.6
2021,1,1,13,9582.35
2021,1,1,14,6421.2
2021,1,1,15,3210.8
2021,1,1,16,4902.36
1972,2,1,1,3946070
1972,2,1,2,27448700
1972,2,1,3,57029800
1972,2,1,4,1665360
1972,2,1,5,694640
1972,2,1,6,668681
1972,2,1,7,941505
1972,2,1,8,90546.6
1972,2,1,9,59271.6
1972,2,1,10,49486
1972,2,1,11,40248.8
1972,2,1,12,8508.18
1972,2,1,13,5991.06
1972,2,1,14,5075.69
1972,2,1,15,4169.93
1972,2,1,16,1369.49
1973,2,1,1,4529390
1973,2,1,2,29564800
1973,2,1,3,27842300
1973,2,1,4,659893
1973,2,1,5,578443
1973,2,1,6,838719
1973,2,1,7,1115730
1973,2,1,8,118709
1973,2,1,9,83759.9
1973,2,1,10,69208.3
1973,2,1,11,53870.3
1973,2,1,12,11464.1
1973,2,1,13,8145
1973,2,1,14,6936.48
1973,2,1,15,5740.01
1973,2,1,16,6383.2
1974,2,1,1,18746800
1974,2,1,2,5112020
1974,2,1,3,37340200
1974,2,1,4,1098980
1974,2,1,5,1138670
1974,2,1,6,1063640
1974,2,1,7,720906
1974,2,1,8,85354.7
1974,2,1,9,83921.4
1974,2,1,10,77065
1974,2,1,11,59636.7
1974,2,1,12,12995.8
1974,2,1,13,9457.05
1974,2,1,14,7844.46
1974,2,1,15,6302.14
1974,2,1,16,8274.82
1975,2,1,1,42968900
1975,2,1,2,3785940
1975,2,1,3,22779800
1975,2,1,4,1585240
1975,2,1,5,661987
1975,2,1,6,533859
1975,2,1,7,867615
1975,2,1,8,136102
1975,2,1,9,169422
1975,2,1,10,108573
1975,2,1,11,57202.1
1975,2,1,12,10862.9
1975,2,1,13,9001.13
1975,2,1,14,8039.81
1975,2,1,15,6483.67
1975,2,1,16,8857.95
1976,2,1,1,10711200
1976,2,1,2,26268000
1976,2,1,3,43285900
1976,2,1,4,2495980
1976,2,1,5,934148
1976,2,1,6,388926
1976,2,1,7,625144
1976,2,1,8,137175
1976,2,1,9,75821.9
1976,2,1,10,68611.4
1976,2,1,11,69276.6
1976,2,1,12,15048.7
1976,2,1,13,18288.1
1976,2,1,14,11711.5
1976,2,1,15,6823.93
1976,2,1,16,8781.63
1977,2,1,1,40540400
1977,2,1,2,6557960
1977,2,1,3,14506600
1977,2,1,4,1278030
1977,2,1,5,457627
1977,2,1,6,738842
1977,2,1,7,775384
1977,2,1,8,103268
1977,2,1,9,68871.8
1977,2,1,10,47438.2
1977,2,1,11,52037.3
1977,2,1,12,14484
1977,2,1,13,7627.19
1977,2,1,14,6936.41
1977,2,1,15,7574.46
1977,2,1,16,10863.6
1978,2,1,1,6761920
1978,2,1,2,8485920
1978,2,1,3,26704200
1978,2,1,4,1671780
1978,2,1,5,604070
1978,2,1,6,415015
1978,2,1,7,247746
1978,2,1,8,106112
1978,2,1,9,40035.1
1978,2,1,10,56965.9
1978,2,1,11,51240.6
1978,2,1,12,8068.28
1978,2,1,13,5761.79
1978,2,1,14,4331.96
1978,2,1,15,5238.09
1978,2,1,16,7491.11
1979,2,1,1,8305430
1979,2,1,2,20863100
1979,2,1,3,17875600
1979,2,1,4,727191
1979,2,1,5,256890
1979,2,1,6,449418
1979,2,1,7,359172
1979,2,1,8,179910
1979,2,1,9,43789.3
1979,2,1,10,50873
1979,2,1,11,23771.7
1979,2,1,12,11866.2
1979,2,1,13,4017.8
1979,2,1,14,5337.71
1979,2,1,15,5624.98
1979,2,1,16,5774.6
1980,2,1,1,4819540
1980,2,1,2,15068200
1980,2,1,3,20155300
1980,2,1,4,973256
1980,2,1,5,313929
1980,2,1,6,479458
1980,2,1,7,205571
1980,2,1,8,79673.9
1980,2,1,9,29763.9
1980,2,1,10,62914.5
1980,2,1,11,39306.7
1980,2,1,12,20845.4
1980,2,1,13,4462.98
1980,2,1,14,5754.2
1980,2,1,15,3000.79
1980,2,1,16,6501.81
1981,2,1,1,8133640
1981,2,1,2,6531010
1981,2,1,3,14245200
1981,2,1,4,236708
1981,2,1,5,346418
1981,2,1,6,644815
1981,2,1,7,376329
1981,2,1,8,99148.7
1981,2,1,9,39744.2
1981,2,1,10,45134
1981,2,1,11,20383.8
1981,2,1,12,9274.13
1981,2,1,13,3064.57
1981,2,1,14,6786.13
1981,2,1,15,4773.09
1981,2,1,16,7397.92
1982,2,1,1,5611980
1982,2,1,2,15613900
1982,2,1,3,15424100
1982,2,1,4,486260
1982,2,1,5,436822
1982,2,1,6,438508
1982,2,1,7,245326
1982,2,1,8,33989.6
1982,2,1,9,44480.2
1982,2,1,10,73625.8
1982,2,1,11,43504.1
1982,2,1,12,12605
1982,2,1,13,4442.45
1982,2,1,14,4877.03
1982,2,1,15,2608.2
1982,2,1,16,6439.74
1983,2,1,1,6818030
1983,2,1,2,28533400
1983,2,1,3,11283000
1983,2,1,4,707670
1983,2,1,5,660377
1983,2,1,6,518006
1983,2,1,7,333378
1983,2,1,8,51217.5
1983,2,1,9,55289.7
1983,2,1,10,52829
1983,2,1,11,23705.5
1983,2,1,12,4931.42
1983,2,1,13,4807.2
1983,2,1,14,7745.32
1983,2,1,15,5560.47
1983,2,1,16,6219.16
1984,2,1,1,6709530
1984,2,1,2,5638740
1984,2,1,3,25336700
1984,2,1,4,597347
1984,2,1,5,879902
1984,2,1,6,949539
1984,2,1,7,483707
1984,2,1,8,87520.6
1984,2,1,9,87375
1984,2,1,10,59262.9
1984,2,1,11,35204.2
1984,2,1,12,7298.92
1984,2,1,13,6200.87
1984,2,1,14,6127.63
1984,2,1,15,3142.6
1984,2,1,16,6467.89
1985,2,1,1,4347660
1985,2,1,2,8771310
1985,2,1,3,11086000
1985,2,1,4,2206160
1985,2,1,5,464583
1985,2,1,6,358029
1985,2,1,7,550013
1985,2,1,8,45472.2
1985,2,1,9,102494
1985,2,1,10,78382.2
1985,2,1,11,50289.4
1985,2,1,12,9344.24
1985,2,1,13,8320.64
1985,2,1,14,5396.49
1985,2,1,15,3827.54
1985,2,1,16,5236.42
1986,2,1,1,5013270
1986,2,1,2,12763300
1986,2,1,3,29100900
1986,2,1,4,672054
1986,2,1,5,1232220
1986,2,1,6,411262
1986,2,1,7,314819
1986,2,1,8,91436.2
1986,2,1,9,62389.5
1986,2,1,10,48562.1
1986,2,1,11,63757.6
1986,2,1,12,5908.65
1986,2,1,13,11541.3
1986,2,1,14,8890.28
1986,2,1,15,7285
1986,2,1,16,6961.18
1987,2,1,1,4706780
1987,2,1,2,10850200
1987,2,1,3,15166000
1987,2,1,4,1441000
