year,season,area,ssb
2019,4,7,403660
2020,4,7,348020
2021,4,7,234320
1972,1,8,780130
1973,1,8,800410
1974,1,8,1018500
1975,1,8,910150
1976,1,8,819130
1977,1,8,763860
1978,1,8,824610
1979,1,8,1108300
1980,1,8,947530
1981,1,8,1002000
1982,1,8,934460
1983,1,8,951820
1984,1,8,1249900
1985,1,8,1181400
1986,1,8,944900
1987,1,8,1092200
1988,1,8,1223300
1989,1,8,1258200
1990,1,8,982870
1991,1,8,941650
1992,1,8,1008900
1993,1,8,934720
1994,1,8,863140
1995,1,8,1034300
1996,1,8,1205000
1997,1,8,1155300
1998,1,8,1020100
1999,1,8,1514200
2000,1,8,1507400
2001,1,8,1191600
2002,1,8,1105800
2003,1,8,1063500
2004,1,8,1240400
2005,1,8,1493900
2006,1,8,1636200
2007,1,8,1646000
2008,1,8,1709700
2009,1,8,1443700
2010,1,8,1329300
2011,1,8,1599300
2012,1,8,1425800
2013,1,8,1381100
2014,1,8,1620300
2015,1,8,1490000
2016,1,8,1458100
2017,1,8,1331600
2018,1,8,1161600
2019,1,8,1339300
2020,1,8,1276700
2021,1,8,951190
1972,2,8,731620
1973,2,8,724340
1974,2,8,933230
1975,2,8,758190
1976,2,8,722080
1977,2,8,667810
1978,2,8,816400
1979,2,8,996680
1980,2,8,865860
1981,2,8,887680
1982,2,8,834590
1983,2,8,921430
1984,2,8,1177000
1985,2,8,982480
1986,2,8,888600
1987,2,8,998340
1988,2,8,1122700
1989,2,8,1082800
1990,2,8,839490
1991,2,8,934490
1992,2,8,885070
1993,2,8,796470
1994,2,8,817700
1995,2,8,977770
1996,2,8,1082100
1997,2,8,1033800
1998,2,8,989510
1999,2,8,1484200
2000,2,8,1280500
2001,2,8,1054500
2002,2,8,1003600
2003,2,8,1035100
2004,2,8,1137900
2005,2,8,1420700
2006,2,8,1552500
2007,2,8,1518300
2008,2,8,1530100
2009,2,8,1318300
2010,2,8,1189800
2011,2,8,1481600
2012,2,8,1232200
2013,2,8,1335500
2014,2,8,1473700
2015,2,8,1370000
2016,2,8,1340600
2017,2,8,1166700
2018,2,8,1081400
2019,2,8,1249600
2020,2,8,1089800
2021,2,8,797200
1972,3,8,691700
1973,3,8,717680
1974,3,8,870720
1975,3,8,702590
1976,3,8,684300
1977,3,8,632750
1978,3,8,873100
1979,3,8,929720
1980,3,8,852570
1981,3,8,853120
1982,3,8,803390
1983,3,8,970590
1984,3,8,1161800
1985,3,8,884530
1986,3,8,894170
1987,3,8,985960
1988,3,8,1103000
1989,3,8,974170
1990,3,8,783650
1991,3,8,952040
1992,3,8,794630
1993,3,8,712000
1994,3,8,823390
1995,3,8,991180
1996,3,8,1018500
1997,3,8,935870
1998,3,8,1082600
1999,3,8,1461600
2000,3,8,1161000
2001,3,8,946990
2002,3,8,944080
2003,3,8,1047500
2004,3,8,1138700
2005,3,8,1400200
2006,3,8,1548500
2007,3,8,1507800
2008,3,8,1416100
2009,3,8,1294700
2010,3,8,1211700
2011,3,8,1399000
2012,3,8,1157800
2013,3,8,1340500
2014,3,8,1371800
2015,3,8,1313700
2016,3,8,1312700
2017,3,8,1051300
2018,3,8,1101100
2019,3,8,1155600
2020,3,8,973350
2021,3,8,634580
1972,4,8,667440
1973,4,8,776150
1974,4,8,811280
1975,4,8,682570
1976,4,8,651870
1977,4,8,631850
1978,4,8,932170
1979,4,8,861520
1980,4,8,858730
1981,4,8,839730
1982,4,8,806540
1983,4,8,1037700
1984,4,8,1108300
1985,4,8,815080
1986,4,8,892090
1987,4,8,990750
1988,4,8,1076900
1989,4,8,890980
1990,4,8,756510
1991,4,8,877470
1992,4,8,766820
1993,4,8,653970
1994,4,8,821350
1995,4,8,1009000
1996,4,8,982680
1997,4,8,818460
1998,4,8,1141600
1999,4,8,1407500
2000,4,8,1060600
2001,4,8,866480
2002,4,8,885190
2003,4,8,1057900
2004,4,8,1213900
2005,4,8,1402400
2006,4,8,1458200
2007,4,8,1515000
2008,4,8,1320600
2009,4,8,1246400
2010,4,8,1302000
2011,4,8,1341000
2012,4,8,1184400
2013,4,8,1399800
2014,4,8,1340900
2015,4,8,1322800
2016,4,8,1219700
2017,4,8,1019400
2018,4,8,1165200
2019,4,8,1147200
2020,4,8,872840
2021,4,8,582440
